"MSID","A0","A1","A2","A3","A4","A5","B0","B1","B2","B3","B4","B5","GName50k","f0","dl0"
128,539373.17,0.999618,-0.0052977,3.90E-010,-4.40E-010,2.90E-010,4510897.89,0.0052888,0.9996134,2.20E-010,4.60E-010,1.39E-009,"Καβάλα",40.45,0.45
129,319657.5,0.9997985,0.0215042,-2.09E-009,2.26E-009,-4.60E-010,4124371.61,-0.0215025,0.9997914,2.00E-010,-2.40E-010,-4.38E-009,"Καλαμάτα",37.15,-1.45
130,236395.55,0.9998981,0.0331868,-4.86E-009,3.06E-009,-3.00E-011,4293220.55,-0.033223,0.9998956,1.17E-009,-3.70E-010,-8.87E-009,"Κάλαμος",38.45,-2.45
131,497146.35,0.9996218,0.0004028,-1.70E-010,2.60E-010,2.70E-010,4455299.91,-0.0003894,0.99961,1.60E-010,1.30E-010,-2.70E-010,"Καλαμίτσιον",40.15,0.15
132,282959.49,0.999794,0.0283062,-3.10E-009,2.77E-009,-4.50E-010,4402883.53,-0.0283143,0.9997862,5.00E-011,-2.80E-010,-5.52E-009,"Καλαμπάκα",39.45,-2.15
133,454626.92,0.9996202,0.0060327,-2.50E-010,4.40E-010,-3.00E-011,4455436.5,-0.0060317,0.9996166,6.00E-011,1.00E-010,-8.90E-010,"Καλάνδρα",40.15,-0.15
134,764806.23,1.0000216,-0.0309756,2.80E-009,-3.12E-009,-1.40E-010,4071065.87,0.0309675,1.0000044,6.00E-011,-2.80E-010,6.84E-009,"Κάλυμνος",36.45,3.15
135,195095.61,0.9999789,0.0390932,-3.67E-009,3.61E-009,-6.00E-010,4350284.35,-0.0390904,0.9999804,2.10E-010,-4.80E-010,-7.37E-009,"Καναλλάκιον",39.15,-3.15
136,364905.8,0.9997169,0.0163973,-1.53E-009,1.99E-009,-3.70E-010,4179006.59,-0.0164035,0.9997233,2.30E-010,-3.60E-010,-3.35E-009,"Κανδήλα",37.45,-1.15
137,409569.69,0.9996032,0.0111691,8.00E-011,-2.90E-010,-1.01E-009,4233875.04,-0.0111433,0.9995753,-2.80E-010,-7.00E-010,2.02E-009,"Καπαρέλλιον",38.15,-0.45
138,318470.97,0.9998217,0.0212606,-1.66E-009,2.22E-009,-4.50E-010,4068899.93,-0.0212553,0.9998139,3.00E-010,-4.30E-010,-4.31E-009,"Καρδαμύλη",36.45,-1.45
139,622853.46,0.9996736,-0.0168639,1.77E-009,-1.35E-009,2.90E-010,4567328.83,0.0168717,0.9996625,-1.10E-010,-6.00E-011,3.19E-009,"Κάρδαμος",41.15,1.45
140,324541.65,0.9997474,0.0224766,-2.03E-009,1.20E-009,-1.77E-009,4346298.09,-0.0225156,0.999773,5.70E-010,-3.30E-010,-2.15E-009,"Καρδίτσα",39.15,-1.45
141,411462.95,0.9996459,0.0115743,-8.80E-010,1.18E-009,5.00E-010,4400321.3,-0.0115678,0.9996399,2.70E-010,9.80E-010,-3.23E-009,"Καρίτσα",39.45,-0.45
142,673222.19,0.9997523,-0.0209967,2.19E-009,-2.90E-009,1.00E-010,4179714.24,0.0209118,0.9997518,1.02E-009,-2.60E-010,2.62E-009,"Καρκινάγριον",37.45,2.15
143,154430.02,1.0000479,0.0451055,-4.38E-009,4.15E-009,-5.20E-010,4407601.56,-0.0451088,1.0000568,2.00E-010,-5.00E-011,-8.31E-009,"Καρουσάδες",39.45,-3.45
144,768203.68,0.9999828,-0.0302224,5.11E-009,-3.53E-009,-1.21E-009,3960111.66,0.0302334,1.0000149,7.00E-011,-7.90E-010,7.81E-009,"Κάρπαθος",35.45,3.15
145,323299.2,0.9997464,0.0222371,-2.96E-009,1.99E-009,-4.80E-010,4290811.42,-0.0222404,0.9997713,2.10E-010,4.20E-010,-4.37E-009,"Καρπενήσιον",38.45,-1.45
146,497146.35,0.9996218,0.0004028,-1.70E-010,2.60E-010,2.70E-010,4455299.91,-0.0003894,0.99961,1.60E-010,1.30E-010,-2.70E-010,"Καρυαί",40.15,0.15
147,540805.9,0.9996381,-0.0050086,5.30E-010,7.00E-011,7.00E-011,4233471.85,0.0050258,0.9996628,-7.00E-011,6.70E-010,8.90E-010,"Κάρυστος",38.15,0.45
148,454626.92,0.9996202,0.0060327,-2.50E-010,4.40E-010,-3.00E-011,4455436.5,-0.0060317,0.9996166,6.00E-011,1.00E-010,-8.90E-010,"Κασσάνδρεια",40.15,-0.15
149,282959.49,0.999794,0.0283062,-3.10E-009,2.77E-009,-4.50E-010,4402883.53,-0.0283143,0.9997862,5.00E-011,-2.80E-010,-5.52E-009,"Καστανέα",39.45,-2.15
150,413415.77,0.9996366,0.0119018,-1.45E-009,8.50E-010,2.30E-010,4566809.57,-0.0119003,0.999631,-1.80E-010,-4.20E-010,-1.93E-009,"Καστανούσσα",41.15,-0.45
151,451456.89,0.9996228,0.005426,-9.40E-010,7.00E-010,4.00E-011,3900750.66,-0.0054257,0.9996142,-7.00E-011,5.00E-011,-1.39E-009,"Καστέλλιον",35.15,-0.15
152,286135.29,0.9997525,0.0288945,-2.58E-009,2.63E-009,-5.00E-011,4513884.8,-0.0288922,0.9997499,2.70E-010,-2.00E-010,-5.14E-009,"Καστοριά",40.45,-2.15
153,369585.94,0.9996775,0.0173122,-1.04E-009,1.81E-009,-3.60E-010,4456429.27,-0.0173071,0.9996669,1.00E-010,2.30E-010,-3.03E-009,"Κατερίνη",40.15,-1.15
154,497190.17,0.9996089,0.0004,2.00E-011,1.10E-010,-8.00E-011,4566293.81,-0.0004027,0.9996091,1.50E-010,1.60E-010,-1.80E-010,"Κάτω-Νευροκόπιον",41.15,0.15
155,678873.31,0.9997753,-0.019793,2.40E-009,-2.18E-009,2.10E-010,3902383.78,0.0197793,0.9997773,1.60E-010,2.70E-010,4.62E-009,"Κάτω-Χωρίον",35.15,2.15
156,319657.5,0.9997985,0.0215042,-2.09E-009,2.26E-009,-4.60E-010,4124371.61,-0.0215025,0.9997914,2.00E-010,-2.40E-010,-4.38E-009,"Κάτω-Φιγαλεία",37.15,-1.45
157,413415.77,0.9996366,0.0119018,-1.45E-009,8.50E-010,2.30E-010,4566809.57,-0.0119003,0.999631,-1.80E-010,-4.20E-010,-1.93E-009,"Κερκίνη",41.15,-0.45
158,154430.02,1.0000479,0.0451055,-4.38E-009,4.15E-009,-5.20E-010,4407601.56,-0.0451088,1.0000568,2.00E-010,-5.00E-011,-8.31E-009,"Κέρκυρα",39.45,-3.45
159,320857.52,0.9997806,0.0217461,-2.19E-009,2.32E-009,-4.60E-010,4179847.36,-0.0217525,0.9997788,6.00E-011,-4.10E-010,-4.54E-009,"Κέρτεζη",37.45,-1.45
160,764806.23,1.0000216,-0.0309756,2.80E-009,-3.12E-009,-1.40E-010,4071065.87,0.0309675,1.0000044,6.00E-011,-2.80E-010,6.84E-009,"Κέφαλος",36.45,3.15
161,497060.57,0.9996361,0.0003088,6.60E-010,-1.05E-009,-1.79E-009,4233371.15,-0.0003023,0.9996415,1.25E-009,-8.00E-010,2.43E-009,"Κηφισιά",38.15,0.15
162,412758.03,0.9996334,0.0117896,-1.06E-009,1.05E-009,-2.00E-011,4511308.92,-0.0117829,0.9996386,1.40E-010,-1.40E-010,-2.04E-009,"Κιλκίς",40.45,-0.45
163,541628.29,0.9996078,-0.0048699,6.40E-010,-6.50E-010,2.90E-010,4067075.64,0.0048678,0.9996096,4.00E-011,1.90E-010,1.02E-009,"Κίμωλος",36.45,0.45
164,323299.2,0.9997464,0.0222371,-2.96E-009,1.99E-009,-4.80E-010,4290811.42,-0.0222404,0.9997713,2.10E-010,4.20E-010,-4.37E-009,"Κλεπά",38.45,-1.45
165,197276.84,0.9999511,0.0395039,-3.63E-009,3.73E-009,-3.10E-010,4405788.91,-0.039501,0.9999532,2.00E-010,-2.20E-010,-7.24E-009,"Κληματιά",39.45,-3.15
166,284538.88,0.9997838,0.0285712,-2.78E-009,2.41E-009,4.40E-010,4458382.53,-0.0286207,0.9997869,1.40E-010,1.40E-010,-5.46E-009,"Κνίδη",40.15,-2.15
167,327063.85,0.9997106,0.0229562,-2.16E-009,2.05E-009,-8.00E-011,4457285.55,-0.0229499,0.9997092,3.40E-010,9.00E-011,-4.22E-009,"Κοζάνη",40.15,-1.45
168,369585.94,0.9996775,0.0173122,-1.04E-009,1.81E-009,-3.60E-010,4456429.27,-0.0173071,0.9996669,1.00E-010,2.30E-010,-3.03E-009,"Κολινδρός",40.15,-1.15
169,364001.39,0.9997239,0.0162086,-1.95E-009,1.72E-009,-1.20E-010,4123535.02,-0.0162181,0.9997184,6.00E-011,-1.90E-010,-3.50E-009,"Κολλίναι",37.15,-1.15
170,622853.46,0.9996736,-0.0168639,1.77E-009,-1.35E-009,2.90E-010,4567328.83,0.0168717,0.9996625,-1.10E-010,-6.00E-011,3.19E-009,"Κομοτηνή",41.15,1.45
171,242011.95,0.9998371,0.034258,-3.26E-009,3.00E-009,-5.30E-010,4459719.05,-0.0342616,0.9998322,1.00E-010,-1.70E-010,-6.13E-009,"Κόνιτσα",40.15,-2.45
172,369585.94,0.9996775,0.0173122,-1.04E-009,1.81E-009,-3.60E-010,4456429.27,-0.0173071,0.9996669,1.00E-010,2.30E-010,-3.03E-009,"Κονταριώτισσα",40.15,-1.15
173,408952.17,0.9996667,0.0110237,-1.70E-009,1.64E-009,-5.20E-010,4178401.68,-0.0110429,0.999679,1.50E-010,-7.50E-010,-2.79E-009,"Κόρινθος",37.45,-0.45
174,243923.6,0.9998098,0.0346103,-3.28E-009,3.13E-009,-4.10E-010,4515225.18,-0.0345871,0.9998054,-3.70E-010,-3.30E-010,-5.93E-009,"Κορυτσά",40.45,-2.45
175,318470.97,0.9998217,0.0212606,-1.66E-009,2.22E-009,-4.50E-010,4068899.93,-0.0212553,0.9998139,3.00E-010,-4.30E-010,-4.31E-009,"Κορώνη",36.45,-1.45
176,370551.84,0.9996684,0.0174819,-1.65E-009,1.77E-009,-4.30E-010,4511926.59,-0.0174752,0.9996749,6.10E-010,-3.60E-010,-3.91E-009,"Κουφάλια",40.45,-1.15
177,539077.27,0.9996394,-0.0053702,2.10E-010,-7.60E-010,5.70E-010,4566397.91,0.005361,0.9996014,-6.90E-010,-8.00E-010,9.50E-010,"Κρηνίδες",41.15,0.45
178,407143.51,0.9997341,0.010682,-9.90E-010,1.13E-009,-1.36E-009,4012007.25,-0.0106792,0.9997308,-1.40E-010,-1.24E-009,-2.74E-009,"Κύθηρα",36.15,-0.45
179,497082.12,0.9996506,0.0003829,-1.40E-010,-5.00E-011,3.00E-010,4288846.54,-0.0003812,0.9996581,1.00E-011,3.10E-010,9.00E-011,"Κύμη",38.45,0.15
180,275310.52,0.9998582,0.0268044,-1.92E-009,2.85E-009,-3.80E-010,4125442.66,-0.0268048,0.9998843,5.00E-010,-1.00E-011,-5.34E-009,"Κυπαρισσία",37.15,-2.15
181,497102.18,0.9996189,0.0003919,-7.00E-011,2.23E-009,-6.51E-009,4344325.72,-0.0003876,0.9995613,4.90E-010,-7.40E-010,7.30E-010,"Κυρά-Παναγιά",39.15,0.15
182,764806.23,1.0000216,-0.0309756,2.80E-009,-3.12E-009,-1.40E-010,4071065.87,0.0309675,1.0000044,6.00E-011,-2.80E-010,6.84E-009,"Κώς",36.45,3.15
183,366746.37,0.9996501,0.0168119,-1.59E-009,5.40E-010,2.79E-009,4289963.64,-0.0167124,0.9996894,2.95E-009,9.80E-010,-5.22E-009,"Λαμία",38.45,-1.15
184,368630.23,0.9996727,0.0171317,-1.43E-009,1.32E-009,-1.00E-011,4400936.37,-0.0171354,0.9996806,2.30E-010,-3.20E-010,-3.10E-009,"Λάρισα",39.45,-1.15
185,453637.6,0.9996193,0.0058377,-6.50E-010,5.90E-010,-1.00E-011,4288980.93,-0.0058421,0.9996147,2.40E-010,-5.10E-010,-1.53E-009,"Λάρυμνα",38.45,-0.15
186,497040.38,0.9996289,0.0003712,-2.60E-010,3.40E-010,1.11E-009,4177897.35,-0.0003763,0.9996216,-1.50E-010,5.20E-010,-2.20E-010,"Λαύριον",37.45,0.15
187,412758.03,0.9996334,0.0117896,-1.06E-009,1.05E-009,-2.00E-011,4511308.92,-0.0117829,0.9996386,1.40E-010,-1.40E-010,-2.04E-009,"Λαχανάς",40.45,-0.45
188,409569.23,0.9996647,0.0111731,-1.38E-009,1.26E-009,-2.00E-011,4233875.43,-0.0111649,0.9996583,9.00E-011,1.50E-010,-2.75E-009,"Λεβάδεια",38.15,-0.45
189,539077.27,0.9996394,-0.0053702,2.10E-010,-7.60E-010,5.70E-010,4566397.91,0.005361,0.9996014,-6.90E-010,-8.00E-010,9.50E-010,"Λεκάνη",41.15,0.45
190,324541.84,0.9996883,0.022488,-8.30E-010,2.84E-009,7.70E-010,4346299.22,-0.0224932,0.9997851,-3.80E-010,6.80E-010,-4.99E-009,"Λεοντάριον",39.15,-1.45
191,763077.78,0.9999598,-0.0313506,2.02E-009,-3.16E-009,-1.09E-009,4126548.48,0.0313309,0.9999892,1.10E-010,-4.00E-010,5.48E-009,"Λέρος",37.15,3.15
192,192937.77,0.9999613,0.0386081,-3.19E-009,4.19E-009,1.69E-009,4294783.56,-0.0387542,0.9999581,2.43E-009,1.68E-009,-6.68E-009,"Λεύκας",38.45,-3.15
193,154430.02,1.0000479,0.0451055,-4.38E-009,4.15E-009,-5.20E-010,4407601.56,-0.0451088,1.0000568,2.00E-010,-5.00E-011,-8.31E-009,"Λευκίμμη",39.45,-3.45
194,408341.79,0.9996533,0.0109229,-1.05E-009,1.61E-009,-5.30E-010,4122933.04,-0.010927,0.9996643,-1.10E-010,-1.00E-010,-2.33E-009,"Λεωνίδιον",37.15,-0.45
195,154430.02,1.0000479,0.0451055,-4.38E-009,4.15E-009,-5.20E-010,4407601.56,-0.0451088,1.0000568,2.00E-010,-5.00E-011,-8.31E-009,"Λιαπάδες",39.45,-3.45
196,327063.85,0.9997106,0.0229562,-2.16E-009,2.05E-009,-8.00E-011,4457285.55,-0.0229499,0.9997092,3.40E-010,9.00E-011,-4.22E-009,"Λιβαδερόν",40.15,-1.45
197,327063.85,0.9997106,0.0229562,-2.16E-009,2.05E-009,-8.00E-011,4457285.55,-0.0229499,0.9997092,3.40E-010,9.00E-011,-4.22E-009,"Λιβάδιον",40.15,-1.45
198,410192.92,0.9996655,0.0112982,-1.47E-009,1.17E-009,-1.00E-011,4289353.75,-0.0113001,0.9996726,2.70E-010,2.90E-010,-2.15E-009,"Λιβανάται",38.45,-0.45
199,323299.43,0.9997683,0.0222544,-2.77E-009,2.11E-009,-3.60E-010,4290811.11,-0.022221,0.9997274,-3.70E-010,-9.80E-010,-4.09E-009,"Λιδορίκιον",38.45,-1.45
200,453637.6,0.9996193,0.0058377,-6.50E-010,5.90E-010,-1.00E-011,4288980.93,-0.0058421,0.9996147,2.40E-010,-5.10E-010,-1.53E-009,"Λίμνη",38.45,-0.15
201,369585.94,0.9996775,0.0173122,-1.04E-009,1.81E-009,-3.60E-010,4456429.27,-0.0173071,0.9996669,1.00E-010,2.30E-010,-3.03E-009,"Λιτόχωρον",40.15,-1.15
202,497168.04,0.9996234,0.0004059,-4.00E-011,-1.10E-010,-3.00E-010,4510794.51,-0.0003987,0.9996108,-2.00E-011,4.20E-010,7.00E-011,"Λουτρά-Ελευθερών",40.45,0.15
203,408951.79,0.9996805,0.0110617,-9.20E-010,1.64E-009,1.95E-009,4178401.62,-0.0110704,0.9996886,-6.20E-010,9.30E-010,-3.83E-009,"Λυγούριον",37.45,-0.45
204,623785.22,0.9996697,-0.0167072,1.82E-009,-1.19E-009,-9.00E-011,4511826.59,0.0166824,0.9996562,5.00E-011,3.50E-010,3.47E-009,"Μαρώνεια",40.45,1.45
205,363106.91,0.9997337,0.0160302,-2.70E-009,1.92E-009,-7.30E-010,4068067.38,-0.0160286,0.9997373,2.30E-010,-3.40E-010,-4.17E-009,"Μαυροβούνιον",36.45,-1.15
206,664743.34,0.9996989,-0.0226246,2.20E-009,-2.03E-009,4.00E-011,4568156.21,0.0226223,0.999695,-2.00E-011,-2.80E-010,4.16E-009,"Μέγα-Δέρειον",41.15,2.15
207,319657.5,0.9997985,0.0215042,-2.09E-009,2.26E-009,-4.60E-010,4124371.61,-0.0215025,0.9997914,2.00E-010,-2.40E-010,-4.38E-009,"Μεγαλόπολις",37.15,-1.45
208,452996.01,0.9996362,0.0057472,-7.00E-011,-1.10E-010,-2.80E-010,4178032.26,-0.0057297,0.9996069,-5.00E-011,8.00E-010,-8.70E-010,"Μέγαρα",37.45,-0.15
209,580964.99,0.9996376,-0.0111061,9.80E-010,-8.10E-010,-6.00E-011,4566742.66,0.011101,0.999632,-1.20E-010,-2.00E-011,1.89E-009,"Μέδουσα",41.15,1.15
210,452995.99,0.9996179,0.0057364,-6.70E-010,1.05E-009,-5.80E-010,4178032.08,-0.0057042,0.9995993,-1.50E-010,-1.05E-009,-2.60E-010,"Μέθανα",37.45,-0.15
211,542419.36,0.999584,-0.0047089,2.98E-009,-1.85E-009,-1.00E-011,3900716.49,0.0046614,0.9996009,4.10E-010,-4.90E-010,3.06E-009,"Μέλαμπες",35.15,0.45
212,319657.26,0.9997963,0.0214661,-1.62E-009,1.08E-009,-1.20E-010,4124371.61,-0.0214859,0.9998,5.80E-010,5.00E-010,-4.52E-009,"Μελιγαλάς",37.15,-1.45
213,581578.39,0.999646,-0.0109579,9.00E-010,-1.95E-009,-3.30E-010,4511242.6,0.0110169,0.9995749,3.00E-011,1.61E-009,1.26E-009,"Μέση",40.45,1.15
214,278319.52,0.9998033,0.0273654,-4.19E-009,4.25E-009,-1.13E-009,4236410.38,-0.0274091,0.9997937,3.50E-010,1.02E-009,-6.26E-009,"Μεσολόγγιον",38.15,-2.15
215,243923.6,0.9998098,0.0346103,-3.28E-009,3.13E-009,-4.10E-010,4515225.18,-0.0345871,0.9998054,-3.70E-010,-3.30E-010,-5.93E-009,"Μεσοποταμιά",40.45,-2.45
216,539077.21,0.9996137,-0.0053879,-7.60E-010,7.80E-010,-1.93E-009,4566398.03,0.0053818,0.9995963,5.50E-010,-3.90E-010,-8.00E-011,"Μεσοχώριον",41.15,0.45
217,672050.45,0.9997406,-0.0212045,1.95E-009,-2.13E-009,-5.00E-011,4235193.86,0.0212056,0.9997419,-5.00E-011,-1.50E-010,4.01E-009,"Μεστά",38.15,2.15
218,664743.28,0.9996909,-0.0226144,3.88E-009,-3.80E-009,-4.00E-010,4568156.22,0.0226139,0.9996837,3.00E-010,1.80E-010,7.71E-009,"Μεταξάδες",41.15,2.15
219,240119.93,0.9998629,0.0339001,-3.40E-009,3.18E-009,-4.90E-010,4404216.29,-0.0339085,0.9998642,3.50E-010,-2.50E-010,-6.58E-009,"Μέτσοβον",39.45,-2.45
220,669670.67,0.9997204,-0.0216595,2.01E-009,-2.39E-009,-2.00E-011,4346168.76,0.0216577,0.9997199,1.00E-010,-1.40E-010,4.30E-009,"Μήθυμνα",39.15,2.15
221,541628.29,0.9996078,-0.0048699,6.40E-010,-6.50E-010,2.90E-010,4067075.64,0.0048678,0.9996096,4.00E-011,1.90E-010,1.02E-009,"Μήλος",36.45,0.45
222,407739.43,0.9996729,0.0108029,-1.32E-009,1.11E-009,3.00E-011,4067468.46,-0.0107992,0.9996781,-7.00E-011,-8.00E-011,-2.57E-009,"Μολάοι",36.45,-0.45
223,625620.17,0.9996578,-0.0162471,1.54E-009,-1.46E-009,-2.80E-010,4400840.28,0.0162772,0.9996612,8.60E-010,-3.20E-010,2.09E-009,"Μούδρος",39.45,1.45
224,281396.35,0.9998058,0.02802,-2.74E-009,2.37E-009,-3.60E-010,4347388.28,-0.028016,0.9998019,2.10E-010,2.10E-010,-5.49E-009,"Μουζάκιον",39.15,-2.15
225,633386.86,0.9997053,-0.0147522,7.50E-010,-1.10E-009,2.17E-009,3901598.13,0.0147539,0.9997007,-1.18E-009,8.40E-010,1.67E-009,"Μοχός",35.15,1.45
226,242011.95,0.9998371,0.034258,-3.26E-009,3.00E-009,-5.30E-010,4459719.05,-0.0342616,0.9998322,1.00E-010,-1.70E-010,-6.13E-009,"Μπόροβα",40.15,-2.45
227,630033.81,0.9996885,-0.0154905,1.54E-009,-1.60E-009,-2.10E-010,4123442.34,0.0154898,0.9996921,8.00E-011,-4.00E-011,3.11E-009,"Μύκονος",37.15,1.45
228,582787.81,0.9996442,-0.0106181,7.00E-010,-2.08E-009,-1.20E-010,4400264.01,0.010653,0.9996168,-4.70E-010,-1.00E-011,2.85E-009,"Μύρινα(Κάστρον)",39.45,1.15
229,281396.35,0.9998058,0.02802,-2.74E-009,2.37E-009,-3.60E-010,4347388.28,-0.028016,0.9998019,2.10E-010,2.10E-010,-5.49E-009,"Μυρόφυλλον",39.15,-2.15
230,622853.46,0.9996736,-0.0168639,1.77E-009,-1.35E-009,2.90E-010,4567328.83,0.0168717,0.9996625,-1.10E-010,-6.00E-011,3.19E-009,"Μύτικας",41.15,1.45
231,712815.51,0.9998356,-0.0271599,3.16E-009,-2.22E-009,1.11E-009,4347222.47,0.0271762,0.9998004,-2.70E-010,3.20E-010,4.67E-009,"Μυτιλήνη",39.15,2.45
232,630033.81,0.9996885,-0.0154905,1.54E-009,-1.60E-009,-2.10E-010,4123442.34,0.0154898,0.9996921,8.00E-011,-4.00E-011,3.11E-009,"Νάξος",37.15,1.45
233,322072.85,0.9997341,0.021952,-2.84E-009,2.44E-009,-4.70E-010,4235328.17,-0.0219731,0.999859,1.15E-009,-2.74E-009,-3.69E-009,"Ναύπακτος",38.15,-1.45
234,408951.92,0.9996475,0.0110332,-1.19E-009,4.20E-010,-5.10E-010,4178401.41,-0.0110647,0.9996499,6.10E-010,-6.70E-010,-2.92E-009,"Ναύπλιον",37.45,-0.45
235,278319.01,0.9998206,0.0374444,-4.64E-009,3.53E-009,-4.40E-010,4236407.64,-0.0274432,0.9998248,-2.00E-011,-6.00E-010,-6.29E-009,"Νέα-Μανολάς",38.15,-2.15
236,497061.26,0.9996595,0.0003688,6.40E-010,-4.00E-011,-3.80E-010,4233369.6,-0.0003775,0.9996308,1.00E-010,-1.20E-010,-2.50E-010,"Ερέτρεια",38.15,0.15
237,407739.43,0.9996729,0.0108029,-1.32E-009,1.11E-009,3.00E-011,4067468.46,-0.0107992,0.9996781,-7.00E-011,-8.00E-011,-2.57E-009,"Νεάπολις",36.45,-0.45
238,364905.8,0.9997169,0.0163973,-1.53E-009,1.99E-009,-3.70E-010,4179006.59,-0.0164035,0.9997233,2.30E-010,-3.60E-010,-3.35E-009,"Νεμέα",37.45,-1.15
239,717273.56,0.9998988,-0.0263498,1.03E-009,-2.12E-009,-9.00E-011,4180756.83,0.0263206,0.9998912,4.00E-010,-8.40E-010,2.39E-009,"Νέον-Καρλοβάσιον",37.45,2.45
240,455303.29,0.9996127,0.0061435,-6.90E-010,1.10E-009,5.50E-010,4566431.19,-0.006152,0.9996201,-1.10E-010,3.40E-010,-1.52E-009,"Νέον-Πετρίτσιον",41.15,-0.15
241,242011.95,0.9998371,0.034258,-3.26E-009,3.00E-009,-5.30E-010,4459719.05,-0.0342616,0.9998322,1.00E-010,-1.70E-010,-6.13E-009,"Νεστόριον",40.15,-2.45
242,582791.57,0.999594,-0.0107606,0.00E+000,-1.34E-009,1.19E-009,4400262.38,0.0107373,0.9995591,-5.60E-010,3.00E-011,1.67E-009,"Ν.Αγ.Ευστράτιος",39.45,1.15
243,676654.24,0.999606,-0.0204187,-8.40E-009,-5.59E-009,-1.24E-008,4013311.01,0.0202849,0.9997452,-2.23E-009,-1.95E-009,-1.28E-009,"Ν.Ανάφη",36.15,2.15
244,234562.88,0.9999311,0.0328613,-2.95E-009,3.04E-009,-1.37E-009,4237728.47,-0.032857,0.9999141,3.70E-010,1.60E-010,-5.81E-009,"Ν.Άτοκος",38.15,-2.45
245,496938.36,0.9996032,0.0003666,1.30E-010,2.40E-010,-8.50E-010,3900618.84,-0.0003713,0.9995887,5.90E-010,-9.00E-011,9.00E-011,"Ν.Γαύδος",35.15,0.15
246,678873.31,0.9997753,-0.019793,2.40E-009,-2.18E-009,2.10E-010,3902383.78,0.0197793,0.9997773,1.60E-010,2.70E-010,4.62E-009,"Ν.Διονυσάδες",35.15,2.15
247,539373.17,0.999618,-0.0052977,3.90E-010,-4.40E-010,2.90E-010,4510897.89,0.0052888,0.9996134,2.20E-010,4.60E-010,1.39E-009,"Ν.Θάσος",40.45,0.45
248,631732.68,0.9996712,-0.0151342,9.90E-010,-1.59E-009,4.00E-010,4012515.44,0.01514,0.9996667,-4.60E-010,5.40E-010,2.62E-009,"Ν.Θήρα",36.15,1.45
249,769868.68,1.000039,-0.0298253,2.94E-009,-3.17E-009,-1.43E-009,3904640.55,0.0297959,1.0000742,-4.60E-010,-1.60E-009,7.12E-009,"Ν.Κάσος",35.15,3.15
250,541083.17,0.9997222,-0.004931,2.11E-009,-2.70E-010,3.06E-009,4178003.78,0.0049671,0.9997197,-7.90E-010,2.55E-009,1.67E-009,"Ν.Κέα",37.45,0.45
251,541356.72,0.9996124,-0.0049226,1.30E-010,-5.70E-010,-6.00E-011,4122536.94,0.0049278,0.9996081,-3.80E-010,1.60E-010,1.05E-009,"Ν.Κύθνος",37.15,0.45
252,720162.69,0.9998441,-0.0257307,3.09E-009,-2.18E-009,-1.51E-009,4069798.96,0.0257285,0.999896,1.50E-010,8.10E-010,4.67E-009,"Ν.Λέβιθα",36.45,2.45
253,764806.23,1.0000216,-0.0309756,2.80E-009,-3.12E-009,-1.40E-010,4071065.87,0.0309675,1.0000044,6.00E-011,-2.80E-010,6.84E-009,"Ν.Νίσυρος",36.45,3.15
254,151940.06,0.9999385,0.0444926,2.38E-009,1.00E-008,1.22E-008,4352090.45,-0.0445052,1.0001732,-4.79E-009,-3.61E-009,-1.49E-008,"Ν.Παξοί",39.15,-3.45
255,718726.76,0.9998246,-0.0260248,4.69E-009,-4.17E-009,-1.00E-011,4125276.27,0.0260362,0.9998728,2.60E-010,-1.31E-009,6.93E-009,"Ν.Πάτμος",37.15,2.45
256,630033.81,0.9996885,-0.0154905,1.54E-009,-1.60E-009,-2.10E-010,4123442.34,0.0154898,0.9996921,8.00E-011,-4.00E-011,3.11E-009,"Ν.Ρήνεια",37.15,1.45
257,624707.65,0.9996652,-0.0165408,1.42E-009,-1.30E-009,-5.10E-010,4456328.48,0.0165431,0.9996716,-1.10E-010,-3.50E-010,2.82E-009,"Ν.Σαμοθράκη",40.15,1.45
